link,start,xEnd,video,utterance,arousal,valence
https://www.youtube.com/watch?v=_bg0TrqHcBs,0,16.23171606,1f61459b0,utterance_1.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,16.56501619,21.86448817,1f61459b0,utterance_2.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,22.16445828,29.430401,1f61459b0,utterance_3.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,29.63038107,33.09670237,1f61459b0,utterance_4.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,33.36334247,38.2628543,1f61459b0,utterance_5.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,38.96278456,55.62779078,1f61459b0,utterance_6.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,56.22773101,61.66052304,1f61459b0,utterance_7.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,62.06048319,63.9602939,1f61459b0,utterance_8.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,64.16027397,78.85880946,1f61459b0,utterance_9.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,79.55873973,83.19171108,1f61459b0,utterance_10.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,83.52501121,84.75822167,1f61459b0,utterance_11.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,84.92487173,87.39129265,1f61459b0,utterance_12.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,87.72459278,92.92407472,1f61459b0,utterance_13.mp4,,
https://www.youtube.com/watch?v=_bg0TrqHcBs,93.09072478,104.322939,1f61459b0,utterance_14.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,31.73261245,39.49910268,a1b44e5f3,utterance_10.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,55.53207179,61.09861199,a1b44e5f3,utterance_14.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,64.86519309,70.33173557,a1b44e5f3,utterance_16.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,82.13146751,83.46477056,a1b44e5f3,utterance_19.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,85.16473194,88.03133348,a1b44e5f3,utterance_21.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,88.19799637,91.96457746,a1b44e5f3,utterance_22.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,93.56454112,101.2976988,a1b44e5f3,utterance_23.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,112.6974398,113.6974171,a1b44e5f3,utterance_29.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,114.097408,114.6307292,a1b44e5f3,utterance_30.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,117.1306724,120.6639255,a1b44e5f3,utterance_32.mp4,,
https://www.youtube.com/watch?v=XPXSWf1h0h4,122.4972172,125.497149,a1b44e5f3,utterance_33.mp4,,
https://www.youtube.com/watch?v=pZSp0HSzGqQ,1.167826784,3.086399359,a7c5bc08c,utterance_1.mp4,,
https://www.youtube.com/watch?v=pZSp0HSzGqQ,4.087393745,8.466744186,a7c5bc08c,utterance_2.mp4,,
https://www.youtube.com/watch?v=pZSp0HSzGqQ,8.758700882,11.92851644,a7c5bc08c,utterance_3.mp4,,
https://www.youtube.com/watch?v=pZSp0HSzGqQ,12.55413793,13.88879711,a7c5bc08c,utterance_4.mp4,,
https://www.youtube.com/watch?v=pZSp0HSzGqQ,14.8897915,16.85007217,a7c5bc08c,utterance_5.mp4,,
https://www.youtube.com/watch?v=pZSp0HSzGqQ,17.51740176,25.85902165,a7c5bc08c,utterance_6.mp4,,
https://www.youtube.com/watch?v=pZSp0HSzGqQ,26.56805934,30.98911788,a7c5bc08c,utterance_7.mp4,,
https://www.youtube.com/watch?v=pZSp0HSzGqQ,33.57502005,37.3704571,a7c5bc08c,utterance_9.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,0,94.78952136,d1dae148e,utterance_1.mp4 ,,
https://www.youtube.com/watch?v=TKVg43IZfQc,95.05644011,136.5956707,d1dae148e,utterance_2.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,136.8625894,140.0322496,d1dae148e,utterance_3.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,139.8987902,141.7004918,d1dae148e,utterance_4.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,142.2343293,146.7052184,d1dae148e,utterance_5.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,147.3725153,159.5840481,d1dae148e,utterance_6.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,160.2179801,161.8528575,d1dae148e,utterance_7.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,162.5535192,169.0262989,d1dae148e,utterance_8.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,169.5601364,171.0615544,d1dae148e,utterance_9.mp4,,
https://www.youtube.com/watch?v=TKVg43IZfQc,171.4285677,213.3681764,d1dae148e,utterance_10.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,0,0.9050576,ddf3a516c,utterance_1.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,1.642511942,2.68165215,ddf3a516c,utterance_2.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,3.285023883,14.11219444,ddf3a516c,utterance_3.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,14.78260747,16.82736724,ddf3a516c,utterance_4.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,17.36369767,29.93394212,ddf3a516c,utterance_5.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,30.03450407,31.17420624,ddf3a516c,utterance_6.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,31.44237145,41.02927789,ddf3a516c,utterance_7.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,41.76673223,43.07403765,ddf3a516c,utterance_8.mp4,,
https://www.youtube.com/watch?v=jB9EVQ9TkN0,44.34782242,47.4987637,ddf3a516c,utterance_9.mp4,,
