link,start,xEnd,video,utterance,arousal,valence,EmotionMaxVote
https://www.youtube.com/watch?v=CROcsl0lIec,15.41268381,19.6828646,5b44393ed,utterance_4.mp4,,,4
https://www.youtube.com/watch?v=CROcsl0lIec,21.25082162,36.79694857,5b44393ed,utterance_6.mp4,,,3
https://www.youtube.com/watch?v=CROcsl0lIec,37.13055645,45.33731016,5b44393ed,utterance_7.mp4,,,4
https://www.youtube.com/watch?v=CROcsl0lIec,45.30394938,68.99010848,5b44393ed,utterance_8.mp4,,,0
https://www.youtube.com/watch?v=CROcsl0lIec,69.59060265,75.42874046,5b44393ed,utterance_9.mp4,,,5
https://www.youtube.com/watch?v=CROcsl0lIec,75.66226597,89.37354962,5b44393ed,utterance_10.mp4,,,0
https://www.youtube.com/watch?v=CROcsl0lIec,95.74546002,98.94809562,5b44393ed,utterance_12.mp4,,,3
https://www.youtube.com/watch?v=CROcsl0lIec,99.48186822,109.2232182,5b44393ed,utterance_13.mp4,,,4
https://www.youtube.com/watch?v=CROcsl0lIec,109.9905163,110.5910104,5b44393ed,utterance_14.mp4,,,3
https://www.youtube.com/watch?v=CROcsl0lIec,110.9246183,112.4258538,5b44393ed,utterance_15.mp4,,,3
https://www.youtube.com/watch?v=CROcsl0lIec,112.7928224,125.4365609,5b44393ed,utterance_16.mp4,,,4
https://www.youtube.com/watch?v=CROcsl0lIec,125.8702511,126.5041061,5b44393ed,utterance_17.mp4,,,4
https://www.youtube.com/watch?v=CROcsl0lIec,127.0378787,131.5082242,5b44393ed,utterance_18.mp4,,,1
https://www.youtube.com/watch?v=CROcsl0lIec,131.9419144,135.9452089,5b44393ed,utterance_19.mp4,,,2
https://www.youtube.com/watch?v=CROcsl0lIec,136.1453736,145.186147,5b44393ed,utterance_20.mp4,,,0
https://www.youtube.com/watch?v=CROcsl0lIec,145.4863941,148.3554219,5b44393ed,utterance_21.mp4,,,4
https://www.youtube.com/watch?v=CROcsl0lIec,148.9892768,149.8900181,5b44393ed,utterance_22.mp4,,,4
https://www.youtube.com/watch?v=Zrx1BfbOysg,0,0.666273932,8c56c5ac5,utterance_1.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,1.165979381,2.831664212,8c56c5ac5,utterance_2.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,4.663917526,10.41053019,8c56c5ac5,utterance_3.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,10.49381443,13.57533137,8c56c5ac5,utterance_4.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,13.99175258,17.48969072,8c56c5ac5,utterance_5.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,18.07268041,22.98645066,8c56c5ac5,utterance_6.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,23.31958763,24.31899853,8c56c5ac5,utterance_7.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,24.48556701,25.73483063,8c56c5ac5,utterance_8.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,26.23453608,26.98409426,8c56c5ac5,utterance_9.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,27.40051546,29.64918999,8c56c5ac5,utterance_10.mp4,,,4
https://www.youtube.com/watch?v=Zrx1BfbOysg,29.73247423,34.81281296,8c56c5ac5,utterance_11.mp4,,,1
https://www.youtube.com/watch?v=Zrx1BfbOysg,36.14536082,39.64329897,8c56c5ac5,utterance_12.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,40.22628866,44.7236377,8c56c5ac5,utterance_13.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,44.89020619,45.80633284,8c56c5ac5,utterance_14.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,46.05618557,54.05147275,8c56c5ac5,utterance_15.mp4,,,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,54.21804124,54.96759941,8c56c5ac5,utterance_16.mp4,,,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,55.38402062,56.13357879,8c56c5ac5,utterance_17.mp4,,,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,56.55,60.54764359,8c56c5ac5,utterance_18.mp4,,,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,61.21391753,63.21273932,8c56c5ac5,utterance_19.mp4,,,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,62.9628866,65.46141384,8c56c5ac5,utterance_20.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,65.87783505,69.54234168,8c56c5ac5,utterance_21.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,69.95876289,70.7916053,8c56c5ac5,utterance_22.mp4,,,1
https://www.youtube.com/watch?v=Zrx1BfbOysg,71.12474227,79.95287187,8c56c5ac5,utterance_23.mp4,,,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,85.69948454,87.61502209,8c56c5ac5,utterance_27.mp4,,,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,87.44845361,98.02555228,8c56c5ac5,utterance_28.mp4,,,5
https://www.youtube.com/watch?v=Y50P3WlXVDk,0,3.127071823,76eecf968,utterance_1.mp4,,,3
https://www.youtube.com/watch?v=Y50P3WlXVDk,3.794180479,12.25812155,76eecf968,utterance_2.mp4,,,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,12.54998158,19.17937385,76eecf968,utterance_3.mp4,,,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,19.26276243,21.22239411,76eecf968,utterance_4.mp4,,,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,21.59764273,26.43418048,76eecf968,utterance_5.mp4,,,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,26.85112339,32.68832413,76eecf968,utterance_6.mp4,,,3
https://www.youtube.com/watch?v=Y50P3WlXVDk,32.68832413,35.48184162,76eecf968,utterance_7.mp4,,,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,35.89878453,44.98813996,76eecf968,utterance_8.mp4,,,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,45.53016575,50.40839779,76eecf968,utterance_9.mp4,,,3
https://www.youtube.com/watch?v=Y50P3WlXVDk,50.49178637,62.45804788,76eecf968,utterance_10.mp4,,,3
https://www.youtube.com/watch?v=Y50P3WlXVDk,62.74990792,64.33429098,76eecf968,utterance_11.mp4,,,4
https://www.youtube.com/watch?v=dqMwSvDD1eo,0,18.29889225,243cff084,utterance_1.mp4,,,3
https://www.youtube.com/watch?v=dqMwSvDD1eo,18.66553672,31.59808717,243cff084,utterance_2.mp4,,,3
